,algorithm,Substitution Matrix,Gap Open,Gap Extension,auROC
0,local,BLOSUM62,-1,-1,0.64
1,local,BLOSUM62,-1,-2,0.64
2,local,BLOSUM62,-1,-3,0.64
3,local,BLOSUM62,-1,-4,0.64
4,local,BLOSUM62,-2,-1,0.66
5,local,BLOSUM62,-2,-2,0.65
6,local,BLOSUM62,-2,-3,0.65
7,local,BLOSUM62,-2,-4,0.65
8,local,BLOSUM62,-3,-1,0.6500000000000001
9,local,BLOSUM62,-3,-2,0.67
10,local,BLOSUM62,-3,-3,0.69
11,local,BLOSUM62,-3,-4,0.69
12,local,BLOSUM62,-4,-1,0.66
13,local,BLOSUM62,-4,-2,0.6799999999999999
14,local,BLOSUM62,-4,-3,0.73
15,local,BLOSUM62,-4,-4,0.7699999999999999
16,local,BLOSUM62,-5,-1,0.66
17,local,BLOSUM62,-5,-2,0.73
18,local,BLOSUM62,-5,-3,0.7399999999999999
19,local,BLOSUM62,-5,-4,0.72
20,local,BLOSUM62,-6,-1,0.7000000000000001
21,local,BLOSUM62,-6,-2,0.73
22,local,BLOSUM62,-6,-3,0.7
23,local,BLOSUM62,-6,-4,0.69
24,local,BLOSUM62,-7,-1,0.72
25,local,BLOSUM62,-7,-2,0.7
26,local,BLOSUM62,-7,-3,0.6699999999999999
27,local,BLOSUM62,-7,-4,0.7
28,local,BLOSUM62,-8,-1,0.72
29,local,BLOSUM62,-8,-2,0.7
30,local,BLOSUM62,-8,-3,0.6799999999999999
31,local,BLOSUM62,-8,-4,0.6699999999999999
32,local,BLOSUM62,-9,-1,0.6799999999999999
33,local,BLOSUM62,-9,-2,0.6599999999999999
34,local,BLOSUM62,-9,-3,0.6599999999999999
35,local,BLOSUM62,-9,-4,0.64
36,local,BLOSUM62,-10,-1,0.6599999999999999
37,local,BLOSUM62,-10,-2,0.6599999999999999
38,local,BLOSUM62,-10,-3,0.65
39,local,BLOSUM62,-10,-4,0.64
40,local,BLOSUM62,-11,-1,0.65
41,local,BLOSUM62,-11,-2,0.6299999999999999
42,local,BLOSUM62,-11,-3,0.64
43,local,BLOSUM62,-11,-4,0.6299999999999999
44,local,BLOSUM62,-12,-1,0.66
45,local,BLOSUM62,-12,-2,0.6299999999999999
46,local,BLOSUM62,-12,-3,0.63
47,local,BLOSUM62,-12,-4,0.65
48,local,BLOSUM62,-13,-1,0.65
49,local,BLOSUM62,-13,-2,0.6399999999999999
50,local,BLOSUM62,-13,-3,0.65
51,local,BLOSUM62,-13,-4,0.65
52,local,BLOSUM62,-14,-1,0.63
53,local,BLOSUM62,-14,-2,0.66
54,local,BLOSUM62,-14,-3,0.65
55,local,BLOSUM62,-14,-4,0.65
56,local,BLOSUM62,-15,-1,0.63
57,local,BLOSUM62,-15,-2,0.63
58,local,BLOSUM62,-15,-3,0.63
59,local,BLOSUM62,-15,-4,0.63
60,local,BLOSUM62,-16,-1,0.64
61,local,BLOSUM62,-16,-2,0.63
62,local,BLOSUM62,-16,-3,0.63
63,local,BLOSUM62,-16,-4,0.63
64,local,BLOSUM62,-17,-1,0.63
65,local,BLOSUM62,-17,-2,0.63
66,local,BLOSUM62,-17,-3,0.63
67,local,BLOSUM62,-17,-4,0.63
68,local,BLOSUM62,-18,-1,0.63
69,local,BLOSUM62,-18,-2,0.63
70,local,BLOSUM62,-18,-3,0.63
71,local,BLOSUM62,-18,-4,0.6699999999999999
72,local,BLOSUM62,-19,-1,0.63
73,local,BLOSUM62,-19,-2,0.63
74,local,BLOSUM62,-19,-3,0.6699999999999999
75,local,BLOSUM62,-19,-4,0.6699999999999999
